UMUR_KSH,JANTINA,NEGERI,DAERAH,STRATA,Mean(TOTAL_PAKW_MAKANAN),Mean(p_rent),Mean(p_lain2)
4-6 TAHUN,LELAKI,PAHANG,RAUB,LUAR BANDAR,277.7,368.37,418.89
4-6 TAHUN,LELAKI,PAHANG,TEMERLOH,BANDAR,329.06,431.26,426.69
4-6 TAHUN,LELAKI,PAHANG,TEMERLOH,LUAR BANDAR,285.41,339.18,414.02
4-6 TAHUN,LELAKI,PAHANG,ROMPIN,BANDAR,305.89,367.64,440.2
4-6 TAHUN,LELAKI,PAHANG,ROMPIN,LUAR BANDAR,280.84,340.26,396.62
4-6 TAHUN,LELAKI,PAHANG,MARAN,BANDAR,317.82,388.72,480.06
4-6 TAHUN,LELAKI,PAHANG,MARAN,LUAR BANDAR,271.97,316.41,421.79
4-6 TAHUN,LELAKI,PAHANG,BERA,BANDAR,334.4,466.18,513.28
4-6 TAHUN,LELAKI,PAHANG,BERA,LUAR BANDAR,288.11,302.43,432.97
4-6 TAHUN,LELAKI,PULAU PINANG,SEBERANG PERAI TENGAH,BANDAR,282.98,522.31,507.84
4-6 TAHUN,LELAKI,PULAU PINANG,SEBERANG PERAI TENGAH,LUAR BANDAR,254.92,318.15,300.61
4-6 TAHUN,LELAKI,PULAU PINANG,SEBERANG PERAI UTARA,BANDAR,301.56,479.08,450.28
4-6 TAHUN,LELAKI,PULAU PINANG,SEBERANG PERAI UTARA,LUAR BANDAR,251.76,263.2,317.5
4-6 TAHUN,LELAKI,PULAU PINANG,SEBERANG PERAI SELATAN,BANDAR,304.43,511.92,512.03
4-6 TAHUN,LELAKI,PULAU PINANG,SEBERANG PERAI SELATAN,LUAR BANDAR,257.53,269.96,357.14
4-6 TAHUN,LELAKI,PULAU PINANG,TIMUR LAUT,BANDAR,315.64,863.61,672.63
4-6 TAHUN,LELAKI,PULAU PINANG,BARAT DAYA,BANDAR,300.77,773.25,592.29
4-6 TAHUN,LELAKI,PULAU PINANG,BARAT DAYA,LUAR BANDAR,281.57,652.81,508.44
4-6 TAHUN,LELAKI,PERAK,BATANG PADANG,BANDAR,285.16,383.99,523.82
4-6 TAHUN,LELAKI,PERAK,BATANG PADANG,LUAR BANDAR,245.16,287.87,371.89
4-6 TAHUN,LELAKI,PERAK,MANJUNG,BANDAR,292.01,418.25,407.83
4-6 TAHUN,LELAKI,PERAK,MANJUNG,LUAR BANDAR,274.93,247.15,278.69
4-6 TAHUN,LELAKI,PERAK,KINTA,BANDAR,297.89,436.15,459.7
4-6 TAHUN,LELAKI,PERAK,KINTA,LUAR BANDAR,268.22,434.91,373.91
4-6 TAHUN,LELAKI,PERAK,KERIAN,BANDAR,265.56,279.83,349.44
4-6 TAHUN,LELAKI,PERAK,KERIAN,LUAR BANDAR,263.71,248.51,257.84
4-6 TAHUN,LELAKI,PERAK,KUALA KANGSAR,BANDAR,289.52,314.27,409.41
4-6 TAHUN,LELAKI,PERAK,KUALA KANGSAR,LUAR BANDAR,257.74,285.6,293.49
4-6 TAHUN,LELAKI,PERAK,LARUT DAN MATANG,BANDAR,277.97,371.9,381.52
4-6 TAHUN,LELAKI,PERAK,LARUT DAN MATANG,LUAR BANDAR,272.76,268.76,341.47
4-6 TAHUN,LELAKI,PERAK,HILIR PERAK,BANDAR,264.86,359.33,388.68
4-6 TAHUN,LELAKI,PERAK,HILIR PERAK,LUAR BANDAR,248.27,275.99,274.8
4-6 TAHUN,LELAKI,PERAK,HULU PERAK,BANDAR,292.99,300.36,339.11
4-6 TAHUN,LELAKI,PERAK,HULU PERAK,LUAR BANDAR,260.58,225.73,298.41
4-6 TAHUN,LELAKI,PERAK,PERAK TENGAH,BANDAR,277.6,435.12,483.07
4-6 TAHUN,LELAKI,PERAK,PERAK TENGAH,LUAR BANDAR,242.5,261.64,316.95
4-6 TAHUN,LELAKI,PERAK,KAMPAR,BANDAR,278.8,335.91,425.08
4-6 TAHUN,LELAKI,PERAK,KAMPAR,LUAR BANDAR,260.79,239.18,368
4-6 TAHUN,LELAKI,PERAK,MUALLIM,BANDAR,283.08,363.79,513.94
4-6 TAHUN,LELAKI,PERAK,MUALLIM,LUAR BANDAR,246.06,296.46,360.75
4-6 TAHUN,LELAKI,PERAK,BAGAN DATUK,BANDAR,279.88,340.55,371.07
4-6 TAHUN,LELAKI,PERAK,BAGAN DATUK,LUAR BANDAR,251.17,267.17,326.49
4-6 TAHUN,LELAKI,PERAK,SELAMA,BANDAR,279.93,401.99,436.76
4-6 TAHUN,LELAKI,PERAK,SELAMA,LUAR BANDAR,274.18,305.59,321.17
4-6 TAHUN,LELAKI,PERLIS,PERLIS,BANDAR,294.66,311.5,409.91
4-6 TAHUN,LELAKI,PERLIS,PERLIS,LUAR BANDAR,261.14,282.07,370.31
4-6 TAHUN,LELAKI,SELANGOR,GOMBAK,BANDAR,326.96,596.96,547.96
4-6 TAHUN,LELAKI,SELANGOR,GOMBAK,LUAR BANDAR,319.6,319.67,425.64
4-6 TAHUN,LELAKI,SELANGOR,KLANG,BANDAR,351.1,653.59,554.16
4-6 TAHUN,LELAKI,SELANGOR,KLANG,LUAR BANDAR,316.44,338.34,341.62
4-6 TAHUN,LELAKI,SELANGOR,KUALA LANGAT,BANDAR,325.1,638.4,505.78
4-6 TAHUN,LELAKI,SELANGOR,KUALA LANGAT,LUAR BANDAR,330.81,599.08,474.26
4-6 TAHUN,LELAKI,SELANGOR,KUALA SELANGOR,BANDAR,329.86,645.55,532.85
4-6 TAHUN,LELAKI,SELANGOR,KUALA SELANGOR,LUAR BANDAR,336.51,442.82,497.74
4-6 TAHUN,LELAKI,SELANGOR,PETALING,BANDAR,374.82,905.22,705.96
4-6 TAHUN,LELAKI,SELANGOR,SABAK BERNAM,BANDAR,333.66,489.32,479.7
4-6 TAHUN,LELAKI,SELANGOR,SABAK BERNAM,LUAR BANDAR,323.06,489.75,462.5
4-6 TAHUN,LELAKI,SELANGOR,SEPANG,BANDAR,353.73,863.28,600.67
4-6 TAHUN,LELAKI,SELANGOR,SEPANG,LUAR BANDAR,317.29,679.75,612.54
4-6 TAHUN,LELAKI,SELANGOR,HULU LANGAT,BANDAR,361.48,757.28,507.71
4-6 TAHUN,LELAKI,SELANGOR,HULU LANGAT,LUAR BANDAR,314.57,535.03,404.23
4-6 TAHUN,LELAKI,SELANGOR,HULU SELANGOR,BANDAR,321.68,388.23,459.77
4-6 TAHUN,LELAKI,SELANGOR,HULU SELANGOR,LUAR BANDAR,325.09,444.95,511.52
4-6 TAHUN,LELAKI,TERENGGANU,BESUT,BANDAR,268.55,262.31,347
4-6 TAHUN,LELAKI,TERENGGANU,BESUT,LUAR BANDAR,252.46,271.75,291.97
4-6 TAHUN,LELAKI,TERENGGANU,DUNGUN,BANDAR,288.16,370.77,384.93
4-6 TAHUN,LELAKI,TERENGGANU,DUNGUN,LUAR BANDAR,281.53,288.77,324.99
4-6 TAHUN,LELAKI,TERENGGANU,KEMAMAN,BANDAR,279.55,419.25,433.44
4-6 TAHUN,LELAKI,TERENGGANU,KEMAMAN,LUAR BANDAR,273.24,346.68,389.74
4-6 TAHUN,LELAKI,TERENGGANU,KUALA TERENGGANU,BANDAR,285.95,338.88,348.9
4-6 TAHUN,LELAKI,TERENGGANU,KUALA TERENGGANU,LUAR BANDAR,282.28,348.19,289.51
4-6 TAHUN,LELAKI,TERENGGANU,MARANG,BANDAR,276.52,352.87,366.69
4-6 TAHUN,LELAKI,TERENGGANU,MARANG,LUAR BANDAR,274.41,362.4,359.33
4-6 TAHUN,LELAKI,TERENGGANU,HULU TERENGGANU,BANDAR,280.53,390.85,524.76
4-6 TAHUN,LELAKI,TERENGGANU,HULU TERENGGANU,LUAR BANDAR,275.56,339.34,351.37
4-6 TAHUN,LELAKI,TERENGGANU,SETIU,BANDAR,285.64,363.37,391.55
4-6 TAHUN,LELAKI,TERENGGANU,SETIU,LUAR BANDAR,259.37,262.59,335.9
4-6 TAHUN,LELAKI,TERENGGANU,KUALA NERUS,BANDAR,282.89,376.43,441.8
4-6 TAHUN,LELAKI,TERENGGANU,KUALA NERUS,LUAR BANDAR,272.58,335.76,383.52
4-6 TAHUN,LELAKI,SABAH,TAWAU,BANDAR,250.05,531.63,302.95
4-6 TAHUN,LELAKI,SABAH,TAWAU,LUAR BANDAR,246.32,358,238.63
4-6 TAHUN,LELAKI,SABAH,LAHAD DATU,BANDAR,238.73,377.56,334.84
4-6 TAHUN,LELAKI,SABAH,LAHAD DATU,LUAR BANDAR,234.79,318.41,301.88
4-6 TAHUN,LELAKI,SABAH,SEMPORNA,BANDAR,245.64,398.31,250.53
4-6 TAHUN,LELAKI,SABAH,SEMPORNA,LUAR BANDAR,239.39,261.66,169.91
4-6 TAHUN,LELAKI,SABAH,SANDAKAN,BANDAR,267.16,504.79,320.4
4-6 TAHUN,LELAKI,SABAH,SANDAKAN,LUAR BANDAR,264.49,349.88,177.77
4-6 TAHUN,LELAKI,SABAH,KINABATANGAN,BANDAR,264.35,372.44,274.52
4-6 TAHUN,LELAKI,SABAH,KINABATANGAN,LUAR BANDAR,255.93,385.91,211.61
4-6 TAHUN,LELAKI,SABAH,BELURAN,BANDAR,273.1,298.65,298.65
4-6 TAHUN,LELAKI,SABAH,BELURAN,LUAR BANDAR,273.1,298.65,298.65
4-6 TAHUN,LELAKI,SABAH,KOTA KINABALU,BANDAR,252.04,586.49,407.64
4-6 TAHUN,LELAKI,SABAH,KOTA KINABALU,LUAR BANDAR,257.57,295.6,313.37
4-6 TAHUN,LELAKI,SABAH,RANAU,BANDAR,278.81,394.06,297.73
4-6 TAHUN,LELAKI,SABAH,RANAU,LUAR BANDAR,255.36,353.67,285.84
4-6 TAHUN,LELAKI,SABAH,KOTA BELUD,BANDAR,257.77,472.75,338.03
4-6 TAHUN,LELAKI,SABAH,KOTA BELUD,LUAR BANDAR,251.49,355.15,244.97
4-6 TAHUN,LELAKI,SABAH,TUARAN,BANDAR,253.72,404.55,361.95
4-6 TAHUN,LELAKI,SABAH,TUARAN,LUAR BANDAR,254.46,429.08,298.57
4-6 TAHUN,LELAKI,SABAH,PENAMPANG,BANDAR,270.37,579.68,469.71
4-6 TAHUN,LELAKI,SABAH,PENAMPANG,LUAR BANDAR,259.77,392.78,381.48
4-6 TAHUN,LELAKI,SABAH,PAPAR,BANDAR,261.12,459.96,324.4
4-6 TAHUN,LELAKI,SABAH,PAPAR,LUAR BANDAR,243.13,401.72,264.52
4-6 TAHUN,LELAKI,SABAH,KUDAT,BANDAR,254.96,451.79,361.03
4-6 TAHUN,LELAKI,SABAH,KUDAT,LUAR BANDAR,245.97,281.55,285.86
4-6 TAHUN,LELAKI,SABAH,KOTA MARUDU,BANDAR,254.82,412.84,320.49
4-6 TAHUN,LELAKI,SABAH,KOTA MARUDU,LUAR BANDAR,245.21,345.26,204.51
4-6 TAHUN,LELAKI,SABAH,PITAS,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,PITAS,LUAR BANDAR,242.61,303.02,279.16
4-6 TAHUN,LELAKI,SABAH,BEAUFORT,BANDAR,256.34,512.11,408.57
4-6 TAHUN,LELAKI,SABAH,BEAUFORT,LUAR BANDAR,241.04,385.81,241.32
4-6 TAHUN,LELAKI,SABAH,KUALA PENYU,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,KUALA PENYU,LUAR BANDAR,236.21,399.45,405.07
4-6 TAHUN,LELAKI,SABAH,SIPITANG,BANDAR,244.58,398.49,342.26
4-6 TAHUN,LELAKI,SABAH,SIPITANG,LUAR BANDAR,251.54,476.04,334.25
4-6 TAHUN,LELAKI,SABAH,TENOM,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,TENOM,LUAR BANDAR,241.72,374.29,291.79
4-6 TAHUN,LELAKI,SABAH,NABAWAN,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,NABAWAN,LUAR BANDAR,244.44,313,260.33
4-6 TAHUN,LELAKI,SABAH,KENINGAU,BANDAR,258.62,443.65,330.62
4-6 TAHUN,LELAKI,SABAH,KENINGAU,LUAR BANDAR,243.62,331.31,212.06
4-6 TAHUN,LELAKI,SABAH,TAMBUNAN,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,TAMBUNAN,LUAR BANDAR,242.48,384.58,297.78
4-6 TAHUN,LELAKI,SABAH,KUNAK,BANDAR,234.54,350.67,204.61
4-6 TAHUN,LELAKI,SABAH,KUNAK,LUAR BANDAR,224.53,361.44,281.69
4-6 TAHUN,LELAKI,SABAH,TONGOD,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,TONGOD,LUAR BANDAR,254.65,338.52,286.16
4-6 TAHUN,LELAKI,SABAH,PUTATAN,BANDAR,261.8,442.87,309.43
4-6 TAHUN,LELAKI,SABAH,TELUPID,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,TELUPID,LUAR BANDAR,263.44,436.25,354.23
4-6 TAHUN,LELAKI,SABAH,KALABAKAN,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,KALABAKAN,LUAR BANDAR,219.33,378.65,245.34
4-6 TAHUN,LELAKI,SABAH,MEMBAKUT,BANDAR,259.59,512.27,360.31
4-6 TAHUN,LELAKI,SABAH,MEMBAKUT,LUAR BANDAR,248.78,356.04,266.65
4-6 TAHUN,LELAKI,SARAWAK,KUCHING,BANDAR,336.32,530.76,425.78
4-6 TAHUN,LELAKI,SARAWAK,KUCHING,LUAR BANDAR,271.61,329.11,267.78
4-6 TAHUN,LELAKI,SARAWAK,BAU,BANDAR,278.14,322.82,374.31
4-6 TAHUN,LELAKI,SARAWAK,BAU,LUAR BANDAR,276.93,300.53,233.58
4-6 TAHUN,LELAKI,SARAWAK,LUNDU,BANDAR,278.14,322.82,374.31
4-6 TAHUN,LELAKI,SARAWAK,LUNDU,LUAR BANDAR,278.14,322.82,374.31
4-6 TAHUN,LELAKI,SARAWAK,SAMARAHAN,BANDAR,346.14,512.08,402.05
4-6 TAHUN,LELAKI,SARAWAK,SAMARAHAN,LUAR BANDAR,268.86,301.25,262.12
4-6 TAHUN,LELAKI,SARAWAK,SERIAN,BANDAR,338.57,373.64,379.86
4-6 TAHUN,LELAKI,SARAWAK,SERIAN,LUAR BANDAR,267.23,310.04,288.12
4-6 TAHUN,LELAKI,SARAWAK,SIMUNJAN,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,SIMUNJAN,LUAR BANDAR,271.96,248.72,263.87
4-6 TAHUN,LELAKI,SARAWAK,SRI AMAN,BANDAR,323.09,347.03,399.75
4-6 TAHUN,LELAKI,SARAWAK,SRI AMAN,LUAR BANDAR,248.67,196.75,348
4-6 TAHUN,LELAKI,SARAWAK,LUBOK ANTU,BANDAR,268.53,178.91,446.84
4-6 TAHUN,LELAKI,SARAWAK,LUBOK ANTU,LUAR BANDAR,268.53,178.91,446.84
4-6 TAHUN,LELAKI,SARAWAK,BETONG,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,BETONG,LUAR BANDAR,272.05,211.84,295.89
4-6 TAHUN,LELAKI,SARAWAK,SARATOK,LUAR BANDAR,269.32,200.55,388.94
4-6 TAHUN,LELAKI,SARAWAK,SARIKEI,BANDAR,305.76,416.85,490.47
4-6 TAHUN,LELAKI,SARAWAK,SARIKEI,LUAR BANDAR,259.23,120.4,300.28
4-6 TAHUN,LELAKI,SARAWAK,MARADONG,BANDAR,304.71,351.44,311.17
4-6 TAHUN,LELAKI,SARAWAK,MARADONG,LUAR BANDAR,270.38,104.12,261.53
4-6 TAHUN,LELAKI,SARAWAK,DARO,LUAR BANDAR,263.75,226.72,350.78
4-6 TAHUN,LELAKI,SARAWAK,JULAU,LUAR BANDAR,277.22,107.09,327.58
4-6 TAHUN,LELAKI,SARAWAK,SIBU,BANDAR,292.77,534.95,445.44
4-6 TAHUN,LELAKI,SARAWAK,SIBU,LUAR BANDAR,270.72,198.39,354.03
4-6 TAHUN,LELAKI,SARAWAK,DALAT,LUAR BANDAR,262.39,292.42,402.24
4-6 TAHUN,LELAKI,SARAWAK,MUKAH,BANDAR,304.03,436.87,436.59
4-6 TAHUN,LELAKI,SARAWAK,MUKAH,LUAR BANDAR,256.82,294.55,357.52
4-6 TAHUN,LELAKI,SARAWAK,KANOWIT,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,KANOWIT,LUAR BANDAR,267.08,280.96,316.51
4-6 TAHUN,LELAKI,SARAWAK,BINTULU,BANDAR,315.99,641.17,420.36
4-6 TAHUN,LELAKI,SARAWAK,BINTULU,LUAR BANDAR,278.91,271.1,368.49
4-6 TAHUN,LELAKI,SARAWAK,TATAU,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,TATAU,LUAR BANDAR,272.43,338.74,338.74
4-6 TAHUN,LELAKI,SARAWAK,KAPIT,BANDAR,338.02,398.17,501.71
4-6 TAHUN,LELAKI,SARAWAK,KAPIT,LUAR BANDAR,275.38,200.88,488.14
4-6 TAHUN,LELAKI,SARAWAK,SONG,LUAR BANDAR,276.59,219.69,638.59
4-6 TAHUN,LELAKI,SARAWAK,BELAGA,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,BELAGA,LUAR BANDAR,262.18,216.79,453.45
4-6 TAHUN,LELAKI,SARAWAK,MIRI,BANDAR,329.37,581.8,431.43
4-6 TAHUN,LELAKI,SARAWAK,MIRI,LUAR BANDAR,278.99,307.32,422.54
4-6 TAHUN,LELAKI,SARAWAK,MARUDI,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,MARUDI,LUAR BANDAR,276.12,264.83,368.49
4-6 TAHUN,LELAKI,SARAWAK,LIMBANG,BANDAR,314.17,346.23,391.7
4-6 TAHUN,LELAKI,SARAWAK,LIMBANG,LUAR BANDAR,279.7,253.05,300.63
4-6 TAHUN,LELAKI,SARAWAK,LAWAS,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,LAWAS,LUAR BANDAR,258.21,367.16,384.86
4-6 TAHUN,LELAKI,SARAWAK,MATU,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,MATU,LUAR BANDAR,270.67,232.15,359.02
4-6 TAHUN,LELAKI,SARAWAK,ASAJAYA,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,ASAJAYA,LUAR BANDAR,280.61,291.05,234.7
4-6 TAHUN,LELAKI,SARAWAK,PAKAN,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,PAKAN,LUAR BANDAR,267.99,85.32,287.95
4-6 TAHUN,LELAKI,SARAWAK,SELANGAU,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,SELANGAU,LUAR BANDAR,248.18,175.07,531.58
4-6 TAHUN,LELAKI,SARAWAK,TEBEDU,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,TEBEDU,LUAR BANDAR,266.61,109.32,498.01
4-6 TAHUN,LELAKI,SARAWAK,PUSA,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,PUSA,LUAR BANDAR,260.67,268.03,190.81
4-6 TAHUN,LELAKI,SARAWAK,KABONG,LUAR BANDAR,269.11,239.57,242.86
4-6 TAHUN,LELAKI,SARAWAK,TANJUNG MANIS,LUAR BANDAR,264.99,128.01,343.83
4-6 TAHUN,LELAKI,SARAWAK,SEBAUH,LUAR BANDAR,276.94,273.56,343.54
4-6 TAHUN,LELAKI,SARAWAK,BUKIT MABONG,LUAR BANDAR,257.86,211.65,426.13
4-6 TAHUN,LELAKI,SARAWAK,SUBIS,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,SUBIS,LUAR BANDAR,272.7,114.68,366.61
4-6 TAHUN,LELAKI,SARAWAK,BELURU,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,BELURU,LUAR BANDAR,276.32,156.88,358.23
4-6 TAHUN,LELAKI,SARAWAK,TELANG USAN,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,TELANG USAN,LUAR BANDAR,264.63,211.58,307.14
4-6 TAHUN,LELAKI,SARAWAK,GEDONG,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,GEDONG,LUAR BANDAR,269.98,245.75,339.96
4-6 TAHUN,LELAKI,SARAWAK,SEBUYAU,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,SEBUYAU,LUAR BANDAR,269.98,245.75,339.96
4-6 TAHUN,LELAKI,SARAWAK,SIBURAN,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,SIBURAN,LUAR BANDAR,269.98,245.75,339.96
4-6 TAHUN,LELAKI,SARAWAK,PANTU,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,PANTU,LUAR BANDAR,269.98,245.75,339.96
4-6 TAHUN,LELAKI,SARAWAK,LINGGA,BANDAR,320.94,533.08,426.1
4-6 TAHUN,LELAKI,SARAWAK,LINGGA,LUAR BANDAR,269.98,245.75,339.96
4-6 TAHUN,LELAKI,W.P. KUALA LUMPUR,KUALA LUMPUR,BANDAR,311.41,1114.37,700.06
4-6 TAHUN,LELAKI,W.P. LABUAN,LABUAN,TIDAK PASTI,275.56,552.51,358.31
4-6 TAHUN,LELAKI,W.P. LABUAN,LABUAN,BANDAR,275.56,552.51,358.31
4-6 TAHUN,LELAKI,W.P. LABUAN,LABUAN,LUAR BANDAR,286.81,594.32,355.25
4-6 TAHUN,LELAKI,W.P. PUTRAJAYA,PUTRAJAYA,BANDAR,295.35,1034.59,802.07
4-6 TAHUN,PEREMPUAN,JOHOR,BATU PAHAT,BANDAR,274.45,463.36,537.08
4-6 TAHUN,PEREMPUAN,JOHOR,BATU PAHAT,LUAR BANDAR,263.89,383.49,449.01
4-6 TAHUN,PEREMPUAN,JOHOR,JOHOR BAHRU,BANDAR,292.87,741.36,635.83
4-6 TAHUN,PEREMPUAN,JOHOR,JOHOR BAHRU,LUAR BANDAR,278.28,481.16,471.03
4-6 TAHUN,PEREMPUAN,JOHOR,KLUANG,BANDAR,269.31,411.76,577.29
4-6 TAHUN,PEREMPUAN,JOHOR,KLUANG,LUAR BANDAR,262.14,368.68,560.63
4-6 TAHUN,PEREMPUAN,JOHOR,KOTA TINGGI,BANDAR,263.05,518.62,545.75
4-6 TAHUN,PEREMPUAN,JOHOR,KOTA TINGGI,LUAR BANDAR,268.98,453.12,468.7
4-6 TAHUN,PEREMPUAN,JOHOR,MERSING,BANDAR,283.24,353.06,492.79
4-6 TAHUN,PEREMPUAN,JOHOR,MERSING,LUAR BANDAR,264.24,349.27,523.52
4-6 TAHUN,PEREMPUAN,JOHOR,MUAR,BANDAR,281.88,470.15,466.74
4-6 TAHUN,PEREMPUAN,JOHOR,MUAR,LUAR BANDAR,267.81,366.12,409.1
4-6 TAHUN,PEREMPUAN,JOHOR,PONTIAN,BANDAR,268.31,541.86,532.4
4-6 TAHUN,PEREMPUAN,JOHOR,PONTIAN,LUAR BANDAR,267.91,382.86,447.32
4-6 TAHUN,PEREMPUAN,JOHOR,SEGAMAT,BANDAR,277.67,456.07,545.87
4-6 TAHUN,PEREMPUAN,JOHOR,SEGAMAT,LUAR BANDAR,264.74,413.55,481.78
4-6 TAHUN,PEREMPUAN,JOHOR,KULAI,BANDAR,283.3,602.81,582.33
4-6 TAHUN,PEREMPUAN,JOHOR,KULAI,LUAR BANDAR,270.86,397.68,484.58
4-6 TAHUN,PEREMPUAN,JOHOR,TANGKAK,BANDAR,269.6,412.07,490.33
4-6 TAHUN,PEREMPUAN,JOHOR,TANGKAK,LUAR BANDAR,279.22,350.92,373.63
4-6 TAHUN,PEREMPUAN,KEDAH,BALING,BANDAR,226.83,254.34,372.7
4-6 TAHUN,PEREMPUAN,KEDAH,BALING,LUAR BANDAR,222.83,195.73,301.26
4-6 TAHUN,PEREMPUAN,KEDAH,BANDAR BAHARU,BANDAR,229.07,202.95,345.36
4-6 TAHUN,PEREMPUAN,KEDAH,BANDAR BAHARU,LUAR BANDAR,219.01,207.35,323.81
4-6 TAHUN,PEREMPUAN,KEDAH,KOTA SETAR,BANDAR,227.44,337.91,472.27
4-6 TAHUN,PEREMPUAN,KEDAH,KOTA SETAR,LUAR BANDAR,229.15,266.68,374.45
4-6 TAHUN,PEREMPUAN,KEDAH,KUALA MUDA,BANDAR,226.19,335.65,397.9
4-6 TAHUN,PEREMPUAN,KEDAH,KUALA MUDA,LUAR BANDAR,222.08,204.39,314.85
4-6 TAHUN,PEREMPUAN,KEDAH,KUBANG PASU,BANDAR,234.2,386.22,459.15
4-6 TAHUN,PEREMPUAN,KEDAH,KUBANG PASU,LUAR BANDAR,213.42,264.62,343.41
4-6 TAHUN,PEREMPUAN,KEDAH,KULIM,TIDAK PASTI,229.09,311.45,372.31
4-6 TAHUN,PEREMPUAN,KEDAH,KULIM,BANDAR,232.73,324.06,374.36
4-6 TAHUN,PEREMPUAN,KEDAH,KULIM,LUAR BANDAR,222.73,227.66,358.64
4-6 TAHUN,PEREMPUAN,KEDAH,LANGKAWI,BANDAR,215.54,305.5,319.06
4-6 TAHUN,PEREMPUAN,KEDAH,LANGKAWI,LUAR BANDAR,212.01,317.66,294.14
4-6 TAHUN,PEREMPUAN,KEDAH,PADANG TERAP,BANDAR,213.12,231.58,401.43
4-6 TAHUN,PEREMPUAN,KEDAH,PADANG TERAP,LUAR BANDAR,213.12,231.58,401.43
4-6 TAHUN,PEREMPUAN,KEDAH,SIK,BANDAR,216.9,253.73,424.98
4-6 TAHUN,PEREMPUAN,KEDAH,SIK,LUAR BANDAR,222.1,247.86,344.11
4-6 TAHUN,PEREMPUAN,KEDAH,YAN,BANDAR,210.43,251.36,417.3
4-6 TAHUN,PEREMPUAN,KEDAH,YAN,LUAR BANDAR,221.54,258.38,295.84
4-6 TAHUN,PEREMPUAN,KEDAH,PENDANG,BANDAR,227.33,291.66,379.05
4-6 TAHUN,PEREMPUAN,KEDAH,PENDANG,LUAR BANDAR,226.85,246.43,401.63
4-6 TAHUN,PEREMPUAN,KEDAH,POKOK SENA,BANDAR,229.01,301.62,506.8
4-6 TAHUN,PEREMPUAN,KEDAH,POKOK SENA,LUAR BANDAR,234.49,275.95,427.8
4-6 TAHUN,PEREMPUAN,KELANTAN,BACHOK,BANDAR,188.48,239.71,178.05
4-6 TAHUN,PEREMPUAN,KELANTAN,BACHOK,LUAR BANDAR,188.48,239.71,178.05
4-6 TAHUN,PEREMPUAN,KELANTAN,KOTA BHARU,BANDAR,209.96,339.93,322.09
4-6 TAHUN,PEREMPUAN,KELANTAN,KOTA BHARU,LUAR BANDAR,192.07,257.21,251.89
4-6 TAHUN,PEREMPUAN,KELANTAN,MACHANG,BANDAR,198.3,316.27,315.58
4-6 TAHUN,PEREMPUAN,KELANTAN,MACHANG,LUAR BANDAR,185.58,231.47,183.19
4-6 TAHUN,PEREMPUAN,KELANTAN,PASIR MAS,BANDAR,208.76,267.95,280
4-6 TAHUN,PEREMPUAN,KELANTAN,PASIR MAS,LUAR BANDAR,186.64,254.52,255.09
4-6 TAHUN,PEREMPUAN,KELANTAN,PASIR PUTEH,BANDAR,203.5,306.28,338.66
4-6 TAHUN,PEREMPUAN,KELANTAN,PASIR PUTEH,LUAR BANDAR,183.25,239.96,293.7
4-6 TAHUN,PEREMPUAN,KELANTAN,TANAH MERAH,BANDAR,199.94,268.25,238.22
