UMUR_KSH,JANTINA,NEGERI,DAERAH,STRATA,Mean(TOTAL_PAKW_MAKANAN),Mean(p_rent),Mean(p_lain2)
9-11 BULAN,PEREMPUAN,SABAH,TENOM,BANDAR,54.91,512.27,360.31
9-11 BULAN,PEREMPUAN,SABAH,TENOM,LUAR BANDAR,48.06,374.29,291.79
9-11 BULAN,PEREMPUAN,SABAH,NABAWAN,BANDAR,54.91,512.27,360.31
9-11 BULAN,PEREMPUAN,SABAH,NABAWAN,LUAR BANDAR,49.62,313,260.33
9-11 BULAN,PEREMPUAN,SABAH,KENINGAU,BANDAR,55.28,443.65,330.62
9-11 BULAN,PEREMPUAN,SABAH,KENINGAU,LUAR BANDAR,49.06,331.31,212.06
9-11 BULAN,PEREMPUAN,SABAH,TAMBUNAN,BANDAR,54.91,512.27,360.31
9-11 BULAN,PEREMPUAN,SABAH,TAMBUNAN,LUAR BANDAR,49.03,384.58,297.78
9-11 BULAN,PEREMPUAN,SABAH,KUNAK,BANDAR,46.16,350.67,204.61
9-11 BULAN,PEREMPUAN,SABAH,KUNAK,LUAR BANDAR,42.98,361.44,281.69
9-11 BULAN,PEREMPUAN,SABAH,TONGOD,BANDAR,54.91,512.27,360.31
9-11 BULAN,PEREMPUAN,SABAH,TONGOD,LUAR BANDAR,48.26,338.52,286.16
9-11 BULAN,PEREMPUAN,SABAH,PUTATAN,BANDAR,57.74,442.87,309.43
9-11 BULAN,PEREMPUAN,SABAH,TELUPID,LUAR BANDAR,51.54,436.25,354.23
9-11 BULAN,PEREMPUAN,SABAH,KALABAKAN,LUAR BANDAR,42.45,378.65,245.34
9-11 BULAN,PEREMPUAN,SABAH,MEMBAKUT,LUAR BANDAR,50.04,356.04,266.65
9-11 BULAN,PEREMPUAN,SARAWAK,KUCHING,BANDAR,78.81,530.76,425.78
9-11 BULAN,PEREMPUAN,SARAWAK,KUCHING,LUAR BANDAR,57.87,329.11,267.78
9-11 BULAN,PEREMPUAN,SARAWAK,BAU,LUAR BANDAR,59.04,300.53,233.58
9-11 BULAN,PEREMPUAN,SARAWAK,LUNDU,BANDAR,59.39,322.82,374.31
